species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,DNp07,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp08,PSp3,"acetylcholine, glutamate","Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp09,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp10,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp101,DM6_central2,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp102,PSp2,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp103,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp104,PSp2,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp11,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp18,putative_primary,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp20,putative_primary,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp24,putative_primary,gaba,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp25,DM2_central,"acetylcholine, gaba","Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp27,NA,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp28,putative_primary,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp37,putative_primary,acetylcholine,"Wang et al., 2021",FISH,3
adult_drosophila_melanogaster,midbrain,DNp50,primary,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNpe038,SMPpv1,acetylcholine,"Wang et al., 2020",FISH,3
adult_drosophila_melanogaster,midbrain,DP1l_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DP1l_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DP1m_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DP1m_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DPM,putative_primary,serotonin,Aso et al. 2019,scRNA-seq,3
adult_drosophila_melanogaster,midbrain,DPM,putative_primary,serotonin,Lee et al. 2011,immuno,5
adult_drosophila_melanogaster,midbrain,D_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,Delta7,PBp1,glutamate,Turner-Evans et al. 2020,scRNA-seq,3
adult_drosophila_melanogaster,optic_lobes,Dm1,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm10,NA,gaba,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm11,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm12,NA,glutamate,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,Dm15,NA,glutamate,"Nern et al., 2024",EASI-FISH,4
adult_drosophila_melanogaster,optic_lobes,Dm17,NA,glutamate,"Nern et al., 2024",EASI-FISH,4
