cell_type,known_nt,known_nt_source,known_nt_confidence,species,region,hemilineage
AN-L-Sens-B3-ACal-03 (temp sensing left neuron together 1),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-04 (Non-ORN 2),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-05 (Non-ORN 1),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-06 (degraded alone temperature partner neuron),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) ,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACp-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACpl-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-VM-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-VM-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-VM-13,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-VM-14,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-VM-15,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-02,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-07,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-09,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-13,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-14,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-ACa-17,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-15,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-16,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-18,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-19,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-20,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-21,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-22,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-23,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-24,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-25,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-26,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-27,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-28,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-29,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-30,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-31,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-32,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-33,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-34,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-35,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-36,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-37,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-38,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-39,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-40,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-41,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-42,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-43,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-44,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B1-AVa-45,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-?-00,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-02,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-07,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-09,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-13,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-14,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-15,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-16,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-17,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-18,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-19,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-20,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-21,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-22,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-ACp-23,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVa-24 (PPS mechano),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVa-25 (PPS mechano),acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVp-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVp-02,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVp-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-AVp-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-VM-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-VM-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-VM-07,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B2-VM-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-01 (temp sensing right neuron alone),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-02 (temp sensing right neuron together 2),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-03 (temp sensing right neuron together 1),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-04 (Non-ORN 2),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-05 (Non-ORN 1),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-06 (Degraded? Temp?),acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACp-08,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACp-09 (gustatory pheromone neuron),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-ACpl-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-VM-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-VM-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-VM-13,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-VM-14,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
AN-R-Sens-B3-VM-15,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Miroschnikow et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
BK1;DALcl12 v d 20_left,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BK1;DALcl12 v d 20_right,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BK: DALcl12 v d 19_left,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BK: DALcl12 v d 19_right,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BN ; DALcm12 L m ant lat 3_left,gaba,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BN ; DALcm12 L m ant lat 3_right,gaba,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BSD; BAmd2 ven desc lat 5_right,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
BT; BAmd2 ven desc lat 5_left,glutamate,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
Basin-1 a4l,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
Basin-1 a4r,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
Basin-3 a4l,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
ChalOLP;left,acetylcholine,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
ChalOLP;right,acetylcholine,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
DA_left,glutamate,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
DA_right,glutamate,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
DE: CPe 1_left,acetylcholine,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
DE: CPe 1_right,acetylcholine,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
DPMpl lat 4 loSMpl_left,gaba,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
DPMpl lat 4 loSMpl_right,gaba,"Eschbach, Fushiki et al. 2020, Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
Drunken-1 a1l,gaba,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Drunken-1 a1r,gaba,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
FLON;left,glutamate,"Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
FLON;right,glutamate,"Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
GlulOLP;left,glutamate,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
GlulOLP;right,glutamate,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-1 a1l,gaba,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Mark et al. 2019, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-1 a1r,gaba,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-1 t3l,gaba,"Barnes et al. 2022, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-1 t3r,gaba,"Barnes et al. 2022, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-2 a1l,gaba,"Barnes et al. 2022, Mark et al. 2019, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-2 a1r,gaba,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-2 t3l,gaba,"Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Griddle-2 t3r,gaba,"Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Handle-A a1,gaba,"Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
Handle-B a1,gaba,"Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
Headphone_left,acetylcholine,"Eschbach, Fushiki et al. 2020, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
Headphone_right,acetylcholine,"Eschbach, Fushiki et al. 2020, Winding, Pedigo et al. 2023",4,larval_drosophila_melanogaster,cns,unpublished
KC #0,acetylcholine,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023, Eichler, Li, Litwin-Kumar et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
KC no claws,acetylcholine,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023, Eichler, Li, Litwin-Kumar et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
KC no pair,acetylcholine,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023, Eichler, Li, Litwin-Kumar et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
